database_inspire,retention_target,mechanism,strength,method,evaluation_target_inspire,metric_inspire,n_replicates_inspire,mean_inspire,sd_inspire,q025_inspire,q975_inspire,truth_inspire,bias_inspire,rmse_inspire,database_mimic,evaluation_target_mimic,metric_mimic,n_replicates_mimic,mean_mimic,sd_mimic,q025_mimic,q975_mimic,truth_mimic,bias_mimic,rmse_mimic
INSPIRE,0.35,mixed_MNAR,weak,IPAW_design_probability_truncated99,reconstructed,oe,300,1.512766600880983,0.1712626550598985,1.2202105048254157,1.868868046080372,1.7981835040786758,-0.2854169031976927,0.3327099878158149,MIMIC,reconstructed,oe,300,0.7852916541218613,0.0271406331044965,0.735616154234864,0.8354419250465904,1.014641724383521,-0.2293500702616597,0.2309450439270277
INSPIRE,0.35,mixed_MNAR,weak,IPAW_design_probability_untruncated,reconstructed,oe,300,1.507595081947547,0.1707060863784396,1.2146350911158137,1.8628453125762905,1.7981835040786758,-0.2905884221311288,0.3368754425256912,MIMIC,reconstructed,oe,300,0.7827992067234568,0.0270610659291023,0.7332289254528312,0.8333172614855309,1.014641724383521,-0.2318425176600642,0.2334112535416385
INSPIRE,0.35,mixed_MNAR,weak,naive,reconstructed,oe,300,2.624438852589144,0.2102686386295601,2.256207314995304,3.0303094107039894,1.7981835040786758,0.8262553485104676,0.8525042081999629,MIMIC,reconstructed,oe,300,1.03675442300224,0.0289258393578451,0.9817587380934536,1.092316055952131,1.014641724383521,0.0221126986187187,0.0363715082010121
INSPIRE,0.35,mixed_MNAR,weak,recalibration_intercept_slope_truth,full,oe,300,0.6727780638121197,0.0676096335447745,0.5550961041651182,0.8271131227507125,1.0,-0.3272219361878803,0.3341107917973374,MIMIC,full,oe,300,0.9358101609065224,0.0280515328271445,0.8828694197985631,0.9918731311592895,1.0,-0.0641898390934776,0.0700328563972114
INSPIRE,0.35,mixed_MNAR,weak,recalibration_intercept_truth,full,oe,300,0.6708481811101533,0.0557370781378639,0.5717619289241923,0.7829371890957803,1.0,-0.3291518188898467,0.3338220878725317,MIMIC,full,oe,300,0.9778277889481204,0.0285120064351694,0.9255503162808364,1.0324770113414363,1.0,-0.0221722110518794,0.0360809045366801
INSPIRE,0.35,mixed_MNAR,weak,reference_10pct_recalibration,full_heldout,oe,300,1.0561370097405396,0.3167463100142218,0.6418078614913444,1.9012375599081672,1.0,0.0561370097405395,0.3211622041179133,MIMIC,full_heldout,oe,300,1.005141929018052,0.1204890523089359,0.8112818920157499,1.2561041880222,1.0,0.0051419290180521,0.1203979199207548
INSPIRE,0.35,outcome_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,1.7700908454452182,0.0823735246248745,1.5935717497602109,1.912203260888501,1.7981835040786758,-0.0280926586334575,0.0869021118060834,MIMIC,reconstructed,oe,300,0.9218113829193836,0.0404855555801615,0.8374015659968127,0.9860828896646058,1.014641724383521,-0.0928303414641374,0.1012476612385718
INSPIRE,0.35,outcome_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,1.7884492820909548,0.1283284028608037,1.540956531279203,2.026849114869216,1.7981835040786758,-0.009734221987721,0.1284836181331105,MIMIC,reconstructed,oe,300,0.929362328745432,0.0377218964550852,0.8545234646565916,0.994097755379138,1.014641724383521,-0.085279395638089,0.0932243190070345
INSPIRE,0.35,outcome_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,1.7831722548245856,0.1282685307391813,1.534120090062958,2.024330851913968,1.7981835040786758,-0.0150112492540901,0.1289314192205689,MIMIC,reconstructed,oe,300,0.9231875710628096,0.0377132670111793,0.8490191618785462,0.9852018851762024,1.014641724383521,-0.0914541533207115,0.098901019711136
INSPIRE,0.35,outcome_MNAR,strong,naive,reconstructed,oe,300,5.859058727902054,0.2571497898948829,5.391958882366749,6.412610888357612,1.7981835040786758,4.060875223823379,4.068981835528074,MIMIC,reconstructed,oe,300,2.082595861211804,0.0455400905066996,1.9829151199712232,2.1602166723425253,1.014641724383521,1.0679541368282826,1.0689214307948565
