database,group_variable,group,metric,n,events,n_replicates,independent_unit,full_reference_mean,full_reference_q025,full_reference_q975,apparent_reconstructed_mean,apparent_reconstructed_q025,apparent_reconstructed_q975,measurement_induced_gap_mean,measurement_induced_gap_q025,measurement_induced_gap_q975,outcome_observed_fraction_mean,outcome_observed_fraction_q025,outcome_observed_fraction_q975,reconstructed_sensitivity_mean,reconstructed_sensitivity_q025,reconstructed_sensitivity_q975,variable_label,label
eICU,age,65-74,oe,2552,639,100,Monte Carlo replicate,0.9060467616978888,0.9060467616978884,0.9060467616978884,0.9669549159674696,0.934761985361832,1.004163224205087,0.060908154269581,0.0287152236639437,0.0981164625071988,0.6657092476489028,0.6461010971786834,0.6826410658307209,0.7596087636932709,0.7347026604068858,0.7879890453834115,age,eICU: age=65-74
eICU,age,75+,oe,2982,702,100,Monte Carlo replicate,0.7772823550038749,0.7772823550038748,0.7772823550038748,0.8358695788126015,0.803275713854211,0.8614547098389973,0.0585872238087266,0.0259933588503362,0.0841723548351224,0.7191918175720994,0.7053906773977197,0.7330818242790074,0.8150284900284901,0.7926994301994302,0.8405270655270656,age,eICU: age=75+
eICU,age,<65,oe,4155,875,100,Monte Carlo replicate,0.8963030362378389,0.8963030362378388,0.8963030362378388,1.0533992554502687,1.0154114440291342,1.0937026604928677,0.1570962192124295,0.1191084077912954,0.1973996242550287,0.5455571600481348,0.5322202166064982,0.5608543922984356,0.7235657142857144,0.696,0.7474285714285714,age,eICU: age=<65
eICU,race_or_ethnicity,African American,oe,1288,352,100,Monte Carlo replicate,0.979176665764794,0.979176665764794,0.979176665764794,1.0780153016505438,1.0266067242315515,1.1228641338789889,0.0988386358857497,0.0474300584667574,0.1436874681141948,0.6665916149068322,0.6459239130434783,0.6894798136645962,0.8041477272727272,0.7654119318181818,0.83671875,race/ethnicity,eICU: race/ethnicity=African American
eICU,race_or_ethnicity,Asian,oe,192,49,100,Monte Carlo replicate,0.9928094620133712,0.9928094620133712,0.9928094620133712,1.0279545940808514,0.9208777324248706,1.136792111845231,0.0351451320674801,-0.0719317295885006,0.1439826498318599,0.7317708333333335,0.6795572916666667,0.7891927083333333,0.8232653061224489,0.7346938775510204,0.9183673469387756,race/ethnicity,eICU: race/ethnicity=Asian
eICU,race_or_ethnicity,Caucasian,oe,7415,1628,100,Monte Carlo replicate,0.8252031257164059,0.8252031257164061,0.8252031257164061,0.91037327795951,0.8838553753514985,0.9295344581680004,0.0851701522431038,0.0586522496350924,0.1043313324515941,0.6134969656102495,0.6022656776803776,0.6234086311530681,0.7439987714987716,0.7231418918918918,0.7611486486486486,race/ethnicity,eICU: race/ethnicity=Caucasian
eICU,race_or_ethnicity,Hispanic,oe,278,68,100,Monte Carlo replicate,0.8880860653583228,0.8880860653583231,0.8880860653583231,0.9703345757075774,0.8730323255125557,1.055353297341206,0.0822485103492543,-0.0150537398457674,0.1672672319828827,0.6868345323741007,0.6438848920863309,0.724910071942446,0.8175,0.7205882352941176,0.8823529411764706,race/ethnicity,eICU: race/ethnicity=Hispanic
eICU,race_or_ethnicity,Other/Unknown,oe,448,105,100,Monte Carlo replicate,0.9816749973910426,0.9816749973910428,0.9816749973910428,1.0762540678951056,1.0043855450503256,1.1439492527127153,0.0945790705040625,0.0227105476592827,0.1622742553216723,0.7349553571428571,0.6941964285714286,0.7601004464285714,0.8640000000000001,0.8045238095238095,0.923809523809524,race/ethnicity,eICU: race/ethnicity=Other/Unknown
eICU,sex,Female,oe,4055,879,100,Monte Carlo replicate,0.8656167000366731,0.8656167000366737,0.8656167000366737,0.9768553200687664,0.9368437292082747,1.0104792402837024,0.1112386200320928,0.071227029171601,0.1448625402470286,0.5681923551171394,0.5554808877928483,0.5829963008631319,0.7092263936291241,0.6751137656427758,0.7327645051194539,sex,eICU: sex=Female
eICU,sex,Male,oe,5634,1337,100,Monte Carlo replicate,0.8520375607605587,0.8520375607605583,0.8520375607605583,0.928545560535943,0.9053613453648292,0.9471306167996774,0.0765079997753848,0.0533237846042709,0.0950930560391191,0.6755928292509762,0.6653044018459354,0.6859380546680867,0.7982423335826476,0.7758227374719522,0.8167913238593867,sex,eICU: sex=Male
