database,sampling_layer,metric,n_replicates,mean,sd,mcse_of_mean,q025,q975
INSPIRE,deletion_given_fixed_cohort,reconstructed_fit_full_retained_oe,300,0.4894291597952029,0.04313958011035684,0.002490664818944194,0.4116444998574644,0.5722111120121884
INSPIRE,deletion_given_fixed_cohort,reconstructed_fit_full_retained_slope,300,1.7381407838142267,0.5293053393365456,0.030559458014946077,0.8148524427007293,2.788068728951848
MIMIC,deletion_given_fixed_cohort,n_evaluable,300,1225.92,20.747089895463287,1.1978337936047092,1187.95,1266.0
MIMIC,deletion_given_fixed_cohort,n_evaluable_reference_events,300,477.2633333333333,9.577390576582447,0.552950902752406,459.0,495.525
MIMIC,deletion_given_fixed_cohort,n_evaluable_reconstructed_events,300,394.94666666666666,9.783466133611029,0.5648486805847914,374.0,415.0
MIMIC,deletion_given_fixed_cohort,retained_fit_selected_retained_oe,300,0.9999192672221947,0.0030428784316808614,0.00017568066816422515,0.9929473940641454,1.0061684961050072
MIMIC,deletion_given_fixed_cohort,retained_fit_selected_retained_slope,300,0.7369984907500898,0.21722059827481305,0.012541237088749485,0.2018846601457197,0.9945305253766247
MIMIC,deletion_given_fixed_cohort,retained_fit_full_retained_oe,300,0.6290376109802878,0.016239410808561415,0.000937582820180385,0.5992580209176177,0.661558684987368
MIMIC,deletion_given_fixed_cohort,retained_fit_full_retained_slope,300,2.023414251588841,0.40021076605885647,0.02310617935166671,1.352271276114873,2.8814465456352583
MIMIC,deletion_given_fixed_cohort,reconstructed_fit_selected_reconstructed_oe,300,0.9998885067068276,0.003392165497741515,0.00019584676632568244,0.9921837389949382,1.0074725076598043
MIMIC,deletion_given_fixed_cohort,reconstructed_fit_selected_reconstructed_slope,300,0.7973603255588453,0.1744374521559874,0.010071150995901178,0.34502506307199593,0.9951898091061003
MIMIC,deletion_given_fixed_cohort,reconstructed_fit_selected_retained_oe,300,1.2086239948621786,0.02275152622234506,0.001313559978894575,1.1641248434126403,1.2538143584406956
MIMIC,deletion_given_fixed_cohort,reconstructed_fit_selected_retained_slope,300,0.6693781554918067,0.1691600027363983,0.009766457311597738,0.30068254914535286,0.9442206161774115
MIMIC,deletion_given_fixed_cohort,reconstructed_fit_full_retained_oe,300,0.7765096857815411,0.024205570956602192,0.001397509290768286,0.7302039431880878,0.8246783717907655
MIMIC,deletion_given_fixed_cohort,reconstructed_fit_full_retained_slope,300,1.7532518686247678,0.31427356208047547,0.018144592566634504,1.2113054160508927,2.4207415514874704
EICU,patient_or_hospital_plus_deletion,n_evaluable,100,1171.9,259.0740504882024,25.907405048820237,705.15,1636.1999999999998
EICU,patient_or_hospital_plus_deletion,n_evaluable_reference_events,100,453.6,104.06524759772476,10.406524759772477,268.675,640.15
EICU,patient_or_hospital_plus_deletion,n_evaluable_reconstructed_events,100,387.08,87.78459403275127,8.778459403275127,232.725,543.05
EICU,patient_or_hospital_plus_deletion,retained_fit_selected_retained_oe,100,1.0001851156186574,0.0034290456679159694,0.00034290456679159694,0.9930118862288622,1.0074757223538104
EICU,patient_or_hospital_plus_deletion,retained_fit_selected_retained_slope,100,0.6427246177673335,0.34497579880436374,0.03449757988043638,-0.29488925646147285,0.9911987382828679
EICU,patient_or_hospital_plus_deletion,retained_fit_full_retained_oe,100,0.6122340092945775,0.02311109290112835,0.002311109290112835,0.559161282880788,0.6520374814234869
EICU,patient_or_hospital_plus_deletion,retained_fit_full_retained_slope,100,1.5415260122216463,0.5302211330145631,0.05302211330145631,0.6668559356766518,2.647868557631034
EICU,patient_or_hospital_plus_deletion,reconstructed_fit_selected_reconstructed_oe,100,1.000122062247141,0.0037378540736743146,0.00037378540736743147,0.9939914543509341,1.0104100907174154
EICU,patient_or_hospital_plus_deletion,reconstructed_fit_selected_reconstructed_slope,100,0.7325002878923946,0.28878600771951446,0.028878600771951445,-0.10248968279644684,0.9953924002836358
EICU,patient_or_hospital_plus_deletion,reconstructed_fit_selected_retained_oe,100,1.1715699009901979,0.023235253071371843,0.0023235253071371845,1.1276706497036197,1.2137180760738984
EICU,patient_or_hospital_plus_deletion,reconstructed_fit_selected_retained_slope,100,0.5790289418255289,0.2831108200274622,0.028311082002746218,-0.22226814340948156,0.9122836325095562
EICU,patient_or_hospital_plus_deletion,reconstructed_fit_full_retained_oe,100,0.7308264920377906,0.03155086379617481,0.003155086379617481,0.6726619741872412,0.7999673433201867
EICU,patient_or_hospital_plus_deletion,reconstructed_fit_full_retained_slope,100,1.2956335992483536,0.35008189013662094,0.035008189013662094,0.6898753233721596,2.018768506568845
INSPIRE,patient_or_hospital_plus_deletion,n_evaluable,100,417.92,15.609295339960129,1.560929533996013,391.0,445.0
INSPIRE,patient_or_hospital_plus_deletion,n_evaluable_reference_events,100,97.72,8.82956466204377,0.8829564662043771,82.475,112.0
INSPIRE,patient_or_hospital_plus_deletion,n_evaluable_reconstructed_events,100,87.88,8.188782669979808,0.8188782669979808,74.475,101.0
INSPIRE,patient_or_hospital_plus_deletion,retained_fit_selected_retained_oe,100,0.9994434602611507,0.013111972666615831,0.001311197266661583,0.9715762408734278,1.0229551383241642
INSPIRE,patient_or_hospital_plus_deletion,retained_fit_selected_retained_slope,100,0.531573009584342,0.44520847886783926,0.044520847886783926,-0.6392347045311852,0.9824693050220449
INSPIRE,patient_or_hospital_plus_deletion,retained_fit_full_retained_oe,100,0.42511889022563054,0.04287700767071747,0.004287700767071747,0.34867929783337515,0.5234588892963793
INSPIRE,patient_or_hospital_plus_deletion,retained_fit_full_retained_slope,100,1.9120562337557712,0.7130183254207642,0.07130183254207642,0.8466908089260693,3.48200038672738
INSPIRE,patient_or_hospital_plus_deletion,reconstructed_fit_selected_reconstructed_oe,100,0.9991001822739605,0.013537562236906522,0.0013537562236906522,0.9684838949794672,1.0218073585920369
INSPIRE,patient_or_hospital_plus_deletion,reconstructed_fit_selected_reconstructed_slope,100,0.5921230560262265,0.3856942503633744,0.03856942503633744,-0.28487043332320877,0.984740910608313
INSPIRE,patient_or_hospital_plus_deletion,reconstructed_fit_selected_retained_oe,100,1.1118284917193817,0.03969271007156057,0.003969271007156057,1.0433153782732032,1.199180152803874
INSPIRE,patient_or_hospital_plus_deletion,reconstructed_fit_selected_retained_slope,100,0.5032389246273224,0.3779230581027194,0.037792305810271945,-0.3496121720615856,1.0260296978872174
INSPIRE,patient_or_hospital_plus_deletion,reconstructed_fit_full_retained_oe,100,0.48953084202296426,0.05223958448176674,0.0052239584481766745,0.394542895350555,0.596758170980373
INSPIRE,patient_or_hospital_plus_deletion,reconstructed_fit_full_retained_slope,100,1.740297103203985,0.5514249186131295,0.055142491861312946,0.7673391100149878,2.751345771384706
MIMIC,patient_or_hospital_plus_deletion,n_evaluable,100,1226.7,20.988934073348116,2.0988934073348116,1190.9,1265.525
MIMIC,patient_or_hospital_plus_deletion,n_evaluable_reference_events,100,475.53,16.850774043306906,1.6850774043306906,449.475,509.525
MIMIC,patient_or_hospital_plus_deletion,n_evaluable_reconstructed_events,100,394.81,15.742687896995932,1.5742687896995933,368.475,429.04999999999995
MIMIC,patient_or_hospital_plus_deletion,retained_fit_selected_retained_oe,100,0.9999348422717783,0.0030207708177987574,0.0003020770817798757,0.9930765256887422,1.0055144196912043
MIMIC,patient_or_hospital_plus_deletion,retained_fit_selected_retained_slope,100,0.7182315895988605,0.25047591166782673,0.025047591166782672,0.12606871558836724,0.9855524437379205
MIMIC,patient_or_hospital_plus_deletion,retained_fit_full_retained_oe,100,0.6270668888647519,0.019836251492357133,0.0019836251492357133,0.586645236050267,0.6624503565310687
MIMIC,patient_or_hospital_plus_deletion,retained_fit_full_retained_slope,100,2.0088510556636123,0.44247669523635097,0.0442476695236351,1.2850267337396521,2.9497984053826283
MIMIC,patient_or_hospital_plus_deletion,reconstructed_fit_selected_reconstructed_oe,100,0.9997456087900691,0.0033909900361812208,0.00033909900361812206,0.9932248028439722,1.0047011828619923
MIMIC,patient_or_hospital_plus_deletion,reconstructed_fit_selected_reconstructed_slope,100,0.7854869268538627,0.20399054102010006,0.020399054102010004,0.34645400877009475,0.9977452709817279
MIMIC,patient_or_hospital_plus_deletion,reconstructed_fit_selected_retained_oe,100,1.2045953043673525,0.0250933947482216,0.00250933947482216,1.16144250738803,1.2576151148530879
MIMIC,patient_or_hospital_plus_deletion,reconstructed_fit_selected_retained_slope,100,0.6605510894911042,0.2043311000799741,0.02043311000799741,0.20010239819512868,0.9934598392081747
MIMIC,patient_or_hospital_plus_deletion,reconstructed_fit_full_retained_oe,100,0.7710774602575095,0.03296082813376142,0.003296082813376142,0.7105418978744054,0.8367505868561854
MIMIC,patient_or_hospital_plus_deletion,reconstructed_fit_full_retained_slope,100,1.773694104698958,0.3998056885129431,0.039980568851294314,1.2513410641117404,2.7445897339823264
