model,database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,naive,reconstructed,event_rate_se,300,0.04247467112283807,0.0025881948269893423,0.03754097615500366,0.04786779003882188,0.019390267411834264,0.023084403711003808,0.023228562546575845
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,naive,reconstructed,event_rate_interval_coverage,300,0.20666666666666667,,,,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_apparent,reconstructed,event_rate,300,0.24726011278831517,0.030493098998017366,0.1906704781704782,0.30851063829787234,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_apparent,reconstructed,oe,300,0.9975824642496108,0.03629376789004516,0.9182871875014028,1.0600167989578757,1.0,-0.002417535750389166,0.03631378904496236
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_apparent,reconstructed,brier,300,0.1731958964887776,0.021532718915837728,0.13440163719546644,0.2154030774772513,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_apparent,reconstructed,auc,300,0.6738708379226866,0.046516496219677024,0.5878713603937675,0.7675809304994757,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_apparent,reconstructed,calibration_intercept,300,-0.44968995916973437,0.14168526563790468,-0.7234084082794352,-0.16622073283178823,0.0,-0.44968995916973437,0.4714115592154744
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_apparent,reconstructed,calibration_slope,300,0.5548619026762958,0.1329637817800153,0.2996324477599109,0.8159878847649569,1.0,-0.44513809732370424,0.46450873159715056
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_apparent,reconstructed,outcome_observed_fraction,300,0.3175411522633745,0.020174298089363562,0.2777777777777778,0.3549382716049383,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_apparent,reconstructed,reconstructed_sensitivity,300,0.5468115942028985,0.06264555623007553,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_apparent,reconstructed,ess,300,102.88333333333334,6.536472580953794,90.0,115.0,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_apparent,reconstructed,event_rate_se,300,0.04247467112283807,0.0025881948269893423,0.03754097615500366,0.04786779003882188,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,event_rate,300,0.24726011278831517,0.030493098998017366,0.1906704781704782,0.30851063829787234,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,1.0081262628897931,0.05053919616858358,0.9230659444472431,1.1476547449785603,1.0,0.008126262889793123,0.0511051119108716
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,brier,300,0.17149295304979592,0.021811265253621658,0.13410099551012697,0.22122419042669092,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,auc,300,0.6588802662374336,0.06036791314405721,0.5427227481353987,0.7620586761603374,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_intercept,300,-0.2874459734795098,0.29420623531836576,-0.8548904744591362,0.07009827881190842,0.0,-0.2874459734795098,0.4109671181576307
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_slope,300,0.7186939792157139,0.25868806007248885,0.14683984868886685,1.0211596263476805,1.0,-0.2813060207842861,0.38187632122474313
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,outcome_observed_fraction,300,0.3175411522633745,0.020174298089363562,0.2777777777777778,0.3549382716049383,,,
