database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
VitalDB,0.75,mixed_MNAR,weak,reference_20pct_recalibration,full_heldout,calibration_slope,300,0.3735259528014748,10.181694135431519,-6.1390315426186195,5.008350604571325,1.0,-0.6264740471985252,10.183997686619382
VitalDB,0.75,mixed_MNAR,weak,reference_20pct_recalibration,full_heldout,outcome_observed_fraction,300,0.7855555555555557,0.01920337860108398,0.75,0.8271604938271605,,,
VitalDB,0.75,mixed_MNAR,weak,reference_20pct_recalibration,full_heldout,reconstructed_sensitivity,300,0.8444927536231884,0.0495751826555885,0.7494565217391305,0.9347826086956522,,,
VitalDB,0.75,mixed_MNAR,weak,reference_20pct_recalibration,full_heldout,ess,300,259.0,0.0,259.0,259.0,,,
VitalDB,0.75,mixed_MNAR,weak,reference_20pct_recalibration,full_heldout,event_rate_se,300,0.021666719331117065,0.0006473169335684598,0.020169662179260833,0.02268143506161645,,,
VitalDB,0.75,mixed_MNAR,weak,reference_20pct_recalibration,full_heldout,reference_sample_n,300,65.0,0.0,65.0,65.0,,,
VitalDB,0.75,mixed_MNAR,weak,reference_20pct_recalibration,full_heldout,evaluation_n,300,259.0,0.0,259.0,259.0,,,
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,event_rate,300,0.14200589970501473,0.01325060443766389,0.11946902654867257,0.168141592920354,,,
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,oe,300,1.0781097575161107,0.36388913258383254,0.6064819655186146,2.021463742301606,1.0,0.07810975751611071,0.37158451353063354
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,brier,300,0.11276161001624345,0.01020638449789864,0.09782995187008783,0.13422353589299058,,,
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,auc,300,0.7075900458044505,0.031692403548044826,0.644586191796818,0.768404208502376,,,
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,calibration_intercept,300,1.1170845365624078,5.393861777515108,-1.0427663402469525,9.85501851025478,0.0,1.1170845365624078,5.499513031822196
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,calibration_slope,300,1.5974705459831835,2.920229704124646,0.40127039728773345,6.726926302185293,1.0,0.5974705459831835,2.9759514063718386
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,outcome_observed_fraction,300,0.7855555555555557,0.01920337860108398,0.75,0.8271604938271605,,,
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,reconstructed_sensitivity,300,0.8444927536231884,0.0495751826555885,0.7494565217391305,0.9347826086956522,,,
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,ess,300,226.0,0.0,226.0,226.0,,,
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,event_rate_se,300,0.023184431488753456,0.000909187320978908,0.021574749482665086,0.024877576146280455,,,
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,reference_sample_n,300,98.0,0.0,98.0,98.0,,,
VitalDB,0.75,mixed_MNAR,weak,reference_30pct_recalibration,full_heldout,evaluation_n,300,226.0,0.0,226.0,226.0,,,
VitalDB,0.75,outcome_MNAR,strong,AIPW_design_probability,reconstructed,event_rate,300,0.14305775353889552,0.004929719247872226,0.13135737602516212,0.15169045004025267,0.1419753086419753,0.0010824448969202205,0.005039128070559539
VitalDB,0.75,outcome_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,1.4275768086458227,0.04919378850363325,1.310818456317401,1.5137226973974216,1.4167750646420612,0.010801744003761549,0.05028558181134225
VitalDB,0.75,outcome_MNAR,strong,AIPW_design_probability,reconstructed,outcome_observed_fraction,300,0.7757818930041152,0.020883248965607948,0.7298611111111112,0.8148148148148148,,,
VitalDB,0.75,outcome_MNAR,strong,AIPW_design_probability,reconstructed,reconstructed_sensitivity,300,0.9785507246376812,0.02155464348523306,0.9347826086956522,1.0,,,
VitalDB,0.75,outcome_MNAR,strong,AIPW_design_probability,reconstructed,ess,300,242.06104015465354,6.494987403108616,227.45223212493786,254.04585574751397,324.0,-81.93895984534646,82.19511777289013
VitalDB,0.75,outcome_MNAR,strong,AIPW_design_probability,reconstructed,event_rate_se,300,0.01983709441515885,0.0002222384436010141,0.01927343531255506,0.02014385444373376,0.019390267411834264,0.00044682700332458747,0.000498878405654309
VitalDB,0.75,outcome_MNAR,strong,AIPW_design_probability,reconstructed,event_rate_interval_coverage,300,1.0,,,,,,
VitalDB,0.75,outcome_MNAR,strong,Gamma2_prediction_sensitivity_region,full,event_rate,300,0.15863499597464903,0.004299838928300453,0.148228399397438,0.16598822289177945,0.1419753086419753,0.016659687332673728,0.017203841667364494
VitalDB,0.75,outcome_MNAR,strong,Gamma2_prediction_sensitivity_region,full,outcome_observed_fraction,300,0.7757818930041152,0.020883248965607948,0.7298611111111112,0.8148148148148148,,,
VitalDB,0.75,outcome_MNAR,strong,Gamma2_prediction_sensitivity_region,full,reconstructed_sensitivity,300,0.9785507246376812,0.02155464348523306,0.9347826086956522,1.0,,,
VitalDB,0.75,outcome_MNAR,strong,Gamma2_prediction_sensitivity_region,full,MNAR_event_rate_coverage,300,0.05333333333333334,,,,,,
VitalDB,0.75,outcome_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,event_rate,300,0.14334032076665948,0.00585202743824056,0.13097701151782187,0.1533821357147263,0.1419753086419753,0.0013650121246841784,0.005999610750262231
