database,reference_fraction,strategy,metric,n_replicates,mean,sd,q025,q50,q975
INSPIRE,0.1,risk_quintile_equal,absolute_log_oe,500,0.21573499742428953,0.18605071467137566,0.007954848385899957,0.16464924960198724,0.726661386262129
INSPIRE,0.2,cluster_stratified,reference_n,500,336.0,0.0,336.0,336.0,336.0
INSPIRE,0.2,cluster_stratified,reference_events,500,27.494,4.415989802056129,19.0,27.0,36.0
INSPIRE,0.2,cluster_stratified,reference_weight_ess,500,335.99997669657216,0.0,335.99997669657216,335.99997669657216,335.99997669657216
INSPIRE,0.2,cluster_stratified,fit_failed,500,0.0,0.0,0.0,0.0,0.0
INSPIRE,0.2,cluster_stratified,heldout_oe,500,1.040780514496917,0.22032805268958772,0.7250261653355399,1.0046439150982271,1.5834063556138085
INSPIRE,0.2,cluster_stratified,heldout_calibration_slope,500,1.0472171120581795,0.2708860619820642,0.6159063181101874,1.0200643866422978,1.6512753558703994
INSPIRE,0.2,cluster_stratified,heldout_brier,500,0.07236267760113095,0.002679508682539266,0.06767947005915154,0.072245608020571,0.07830988894248558
INSPIRE,0.2,cluster_stratified,absolute_log_oe,500,0.1579786634604332,0.1261322347983718,0.005480984885000424,0.12552939906195426,0.46837808840792844
INSPIRE,0.2,random,reference_n,500,336.0,0.0,336.0,336.0,336.0
INSPIRE,0.2,random,reference_events,500,27.43,4.655367320607425,18.0,27.0,37.0
INSPIRE,0.2,random,reference_weight_ess,500,336.0,0.0,336.0,336.0,336.0
INSPIRE,0.2,random,fit_failed,500,0.0,0.0,0.0,0.0,0.0
INSPIRE,0.2,random,heldout_oe,500,1.0443521294221891,0.23218310313828866,0.702054941517542,1.0064755587137744,1.6104650876212936
INSPIRE,0.2,random,heldout_calibration_slope,500,1.039854969308552,0.29194765064995465,0.6282778240315368,0.9797190410959147,1.7581210670219547
INSPIRE,0.2,random,heldout_brier,500,0.07248761942804793,0.0028151164624236665,0.06787142230076983,0.07236407427307266,0.07872552450248617
