validation_database,model_specification,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit,selected_fraction
eICU,minimal,0.04,0.19657601403653627,0.19657601403653627,0.0,1.0
eICU,minimal,0.05,0.18811891944744719,0.18811891944744719,0.0,1.0
eICU,minimal,0.06,0.17948188667561152,0.17948188667561152,0.0,1.0
eICU,minimal,0.07,0.1706591112635213,0.1706591112635213,0.0,1.0
eICU,minimal,0.08,0.161276570920856,0.1616445363859509,0.0,0.9964908659304366
eICU,minimal,0.09,0.1512409563808057,0.15243183898359872,0.0,0.9845185261636907
eICU,minimal,0.1,0.1402506851985642,0.14301441497230535,0.0,0.9712044586644648
eICU,minimal,0.11,0.12876295486251638,0.13338536345514024,0.0,0.9407575601197234
eICU,minimal,0.12,0.11748562099475508,0.12353746985803958,0.0,0.8998864691918671
eICU,minimal,0.13,0.10305679031678297,0.11346318790238484,0.0,0.8394055114046858
eICU,minimal,0.14,0.08919489135365685,0.10315462031985442,0.0,0.7716998658272267
eICU,minimal,0.15,0.07174904227353032,0.09260349820597036,0.0,0.6805655898441532
eICU,minimal,0.16,0.057025886007205026,0.08180115889889858,0.0,0.577252554443183
eICU,minimal,0.17,0.04271643286946941,0.07073852225912627,0.0,0.45866446485705437
eICU,minimal,0.18,0.030169994134661135,0.05940606521350589,0.0,0.3493652595727113
eICU,minimal,0.19,0.01937286651911485,0.047793794413672624,0.0,0.23573124161420167
eICU,minimal,0.2,0.011430488182474968,0.035891216843843526,0.0,0.16637423882753638
eICU,minimal,0.21,0.006016218313603709,0.023687308196297274,0.0,0.11301475900505728
eICU,minimal,0.22,0.0014317055291356053,0.011170478814198498,0.0,0.06904737330993911
eICU,minimal,0.23,0.00026405630699159396,-0.0016714630193833402,0.0,0.03725874703271752
eICU,minimal,0.24,0.000575802184789045,-0.014851350690691018,0.0,0.012798018371348953
eICU,minimal,0.25,0.0,-0.028382702033233537,0.0,0.0
eICU,minimal,0.26,0.0,-0.04227976557422322,0.0,0.0
eICU,minimal,0.27,0.0,-0.056557570582089295,0.0,0.0
eICU,minimal,0.28,0.0,-0.07123198128461836,0.0,0.0
eICU,minimal,0.29,0.0,-0.08631975566890873,0.0,0.0
eICU,minimal,0.3,0.0,-0.10183860932132169,0.0,0.0
MIMIC-IV,extended_common,0.02,0.20396080620012313,0.2094497793478824,0.0,0.965886664787144
MIMIC-IV,extended_common,0.03,0.1933665446914628,0.20129977707311827,0.0,0.9510854243022272
MIMIC-IV,extended_common,0.04,0.18320059204961942,0.1929799830842966,0.0,0.9316323653791937
MIMIC-IV,extended_common,0.05,0.17167955128870951,0.1844850355378155,0.0,0.9049901325063434
MIMIC-IV,extended_common,0.06,0.1598114079023928,0.1758093444265157,0.0,0.8700310121229208
MIMIC-IV,extended_common,0.07,0.14766984669764846,0.16694707931282227,0.0,0.8271778968142092
MIMIC-IV,extended_common,0.08,0.13443081109572083,0.1578921562618747,0.0,0.7834789963349309
MIMIC-IV,extended_common,0.09,0.12261406481874482,0.1486382239131041,0.0,0.7321680293205526
MIMIC-IV,extended_common,0.1,0.11208219778842841,0.1391786486232497,0.0,0.6786016351846631
MIMIC-IV,extended_common,0.11,0.10147521405967379,0.1295064986077806,0.0,0.6219340287566958
MIMIC-IV,extended_common,0.12,0.09101801778711846,0.11961452700105084,0.0,0.5694953481815619
MIMIC-IV,extended_common,0.13,0.0806298993159186,0.10949515374818934,0.0,0.5143783478996335
MIMIC-IV,extended_common,0.14,0.07037063748598552,0.09914044623363341,0.0,0.4668734141528052
